Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/context/feed?workspace_id=ws-0fd28c26,2,0,11,12.858399997639935,10.856199995032512,14.86060000024736,2.0,0.06770004953738142,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/context/feed?workspace_id=ws-10486249,2,0,5.456600003526546,6.313900004897732,5.456600003526546,7.1712000062689185,2.0,0.06770004953738142,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/context/feed?workspace_id=ws-17367c2e,1,0,13.88030000089202,13.88030000089202,13.88030000089202,13.88030000089202,2.0,0.03385002476869071,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/context/feed?workspace_id=ws-1b3e66e2,3,0,5.0278999988222495,5.23323333375932,5.0278999988222495,5.394699997850694,2.0,0.10155007430607213,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/context/feed?workspace_id=ws-2520f839,3,0,7,6.279133337860306,4.368399997474626,7.781400010571815,278.0,0.10155007430607213,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/context/feed?workspace_id=ws-2964316b,2,0,5,4.87299999804236,4.6131999988574535,5.132799997227266,2.0,0.06770004953738142,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/context/feed?workspace_id=ws-35d387d5,1,0,17.249999989871867,17.249999989871867,17.249999989871867,17.249999989871867,2.0,0.03385002476869071,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/context/feed?workspace_id=ws-518c890e,4,0,6,67.19537499884609,5.440599998109974,247.46569999842905,71.0,0.13540009907476283,0.0,10,10,250,250,250,250,250,250,250,250,250
GET,/context/feed?workspace_id=ws-51f69d28,2,0,12,351.5585999994073,11.89949999388773,691.2177000049269,416.5,0.06770004953738142,0.0,690,690,690,690,690,690,690,690,690,690,690
GET,/context/feed?workspace_id=ws-8ba37e60,1,0,4.8749999987194315,4.8749999987194315,4.8749999987194315,4.8749999987194315,278.0,0.03385002476869071,0.0,5,5,5,5,5,5,5,5,5,5,5
